Node: Betweenness
671: 19958.1
626: 19678.9
31: 19612.6
553: 19428.3
258: 19373.9
112: 19211.9
497: 18805.3
716: 18771.7
307: 18417.8
767: 18235.7
94: 18205.9
763: 17999.7
570: 17864.9
831: 17782.4
765: 17642.9
414: 17522.8
220: 17330.9
143: 17303.4
446: 17218.9
125: 17059.7
912: 16880.5
948: 16624.4
747: 16582.5
277: 16529.8
722: 16289.2
667: 15639.8
238: 15596
257: 15322.2
580: 14902.6
595: 14859.1
887: 14786
760: 14759.8
679: 14752.9
53: 14752.6
897: 14725.4
137: 14495.8
702: 14281.5
665: 14273.5
250: 14171.1
643: 14055.3
723: 13983.5
585: 13844.3
684: 13702.1
995: 13676.2
784: 13258.4
584: 13231.5
309: 13099.7
737: 13075.1
13: 12980.4
107: 12896.6
884: 12784.7
583: 12768.1
682: 12759.9
624: 12741.9
686: 12694.9
67: 12478.3
941: 12178.3
442: 12170.5
326: 12150.7
221: 12131
95: 12092.4
415: 11983.3
746: 11929
618: 11846.1
865: 11789.1
215: 11726.6
471: 11707.4
76: 11680.9
469: 11623.1
465: 11611
954: 11594.1
951: 11590.4
383: 11576.3
609: 11499.3
148: 11496.3
668: 11484.7
509: 11228.7
355: 11199.1
328: 10842.2
58: 10711
738: 10583.3
21: 10415.9
327: 10313.7
38: 10267
720: 10244.4
594: 10238.9
931: 10143
152: 10142.5
176: 10092.1
632: 10051.1
211: 9984.42
212: 9850.38
727: 9756.62
239: 9752.25
717: 9729.74
619: 9694.88
670: 9673.26
80: 9659.58
527: 9620
719: 9620
124: 9596.82
843: 9592.5
245: 9576.1
785: 9548.5
337: 9462.17
947: 9433.91
199: 9347.27
921: 9317.61
145: 9245.94
395: 9182.74
272: 9174.54
338: 9167.04
356: 9160.79
962: 9138.5
814: 9130
882: 9103.41
741: 9078.44
51: 9057.94
473: 8978
487: 8960.99
915: 8960.5
4: 8959.89
243: 8929.24
324: 8780.96
271: 8775.59
969: 8730.19
528: 8677.61
919: 8663.93
370: 8649
363: 8649
333: 8649
627: 8649
775: 8649
856: 8649
911: 8649
742: 8644.75
60: 8603.74
283: 8577.28
153: 8529.58
827: 8467.92
130: 8428.97
664: 8399.42
121: 8296.71
45: 8230.9
630: 8211.68
963: 8168.5
806: 8168
282: 8156.17
167: 8116
128: 8098.91
69: 8093.17
628: 8085.16
906: 8076.76
608: 8053.47
592: 8006.09
74: 8001.48
662: 7949.96
515: 7936.24
988: 7919.84
135: 7917.3
964: 7914.49
713: 7899.75
454: 7844.9
418: 7820.63
85: 7811.26
246: 7800.66
871: 7714.02
445: 7688
955: 7688
659: 7688
853: 7687.77
19: 7683.06
147: 7636.34
381: 7626.77
663: 7590.25
860: 7586.35
532: 7580.49
791: 7506.98
783: 7483.83
548: 7368.47
749: 7353.16
823: 7334.22
521: 7331.03
133: 7299.32
694: 7290.1
660: 7286.37
186: 7216.48
844: 7214.46
801: 7207
265: 7198.71
448: 7191.58
916: 7131.69
778: 7127.53
725: 7115.41
524: 7105.86
802: 7064.28
776: 7055.5
910: 6988.11
444: 6983.68
589: 6974.17
341: 6968.99
382: 6944.39
949: 6942.94
64: 6922.66
467: 6896.27
173: 6850.23
417: 6737.5
629: 6733.31
895: 6728.4
462: 6727
83: 6727
458: 6727
572: 6727
957: 6726
958: 6726
818: 6725.54
485: 6674.56
547: 6673.92
459: 6665.08
932: 6664.97
672: 6616.08
743: 6605.34
922: 6586.11
959: 6582.18
956: 6582.18
223: 6522.68
994: 6428.26
691: 6390.92
269: 6372.29
709: 6358.2
149: 6349.23
222: 6347.53
116: 6343.98
549: 6338.72
155: 6305.21
886: 6280.66
380: 6276.99
376: 6276.99
241: 6274.78
715: 6268.86
612: 6260.83
714: 6246
805: 6241.5
335: 6237.88
466: 6185.04
945: 6144.85
96: 6120.11
946: 6090.46
992: 6088.07
450: 6029.46
690: 5956.82
484: 5945.01
140: 5871.21
389: 5840.57
832: 5832.45
781: 5817.79
565: 5803.11
701: 5769.57
804: 5766
491: 5766
175: 5762.16
165: 5726.45
993: 5665.9
110: 5660.08
573: 5656.76
728: 5639.42
428: 5619.42
499: 5595.71
244: 5590
98: 5579.62
898: 5575.74
536: 5572.48
696: 5554.81
966: 5522.5
982: 5522.25
410: 5491.01
574: 5471.76
991: 5441.57
842: 5424.43
681: 5418.28
447: 5410.91
150: 5409.95
868: 5407.8
960: 5398.79
556: 5359.94
118: 5359.41
334: 5340.11
780: 5338.04
674: 5336.78
411: 5312.64
331: 5309.67
710: 5293.22
270: 5288.56
461: 5283
773: 5269.87
506: 5251.35
113: 5231.48
938: 5207.31
640: 5185.91
577: 5173.93
306: 5169.76
909: 5156.64
405: 5151.74
591: 5125.52
416: 5122.33
141: 5096.19
73: 5057.75
861: 5050.21
772: 5047.88
230: 5045.03
810: 5028.02
603: 5022.52
854: 5011.43
986: 5010.9
669: 5008.45
839: 4928.47
560: 4878.84
315: 4871.34
408: 4861.51
79: 4860.34
242: 4838.5
989: 4834.01
841: 4831.12
777: 4816.38
340: 4805
613: 4805
345: 4802
61: 4802
864: 4798.33
649: 4797.19
429: 4735.06
323: 4729.31
787: 4704.32
950: 4695.79
978: 4670.61
972: 4667.76
208: 4609.21
857: 4607.55
566: 4580.82
154: 4565.55
318: 4553.8
705: 4536.2
607: 4499.08
990: 4494
817: 4459.43
923: 4454.24
614: 4422.46
120: 4410.21
697: 4404.85
707: 4378.97
904: 4354.93
248: 4353.41
849: 4351.2
968: 4327.77
460: 4322.67
788: 4318.94
567: 4292.62
736: 4270.5
983: 4249.88
392: 4232.54
786: 4227
943: 4169.78
975: 4158.78
537: 4154.4
847: 4117.54
387: 4046.99
885: 4039.2
766: 4014.82
838: 4000.79
740: 3990.69
970: 3984.65
187: 3974.29
339: 3973.04
90: 3967.8
365: 3964.89
115: 3961.35
407: 3957.99
103: 3957.23
102: 3950.41
430: 3931.28
646: 3928.81
268: 3927.84
131: 3927.84
622: 3901.59
748: 3897.44
981: 3884.21
288: 3882.99
344: 3880.76
803: 3856
372: 3847.21
894: 3845.38
171: 3844.67
522: 3843.37
562: 3837.49
815: 3817.06
876: 3814.91
620: 3807.4
500: 3788.01
266: 3754.72
564: 3727.81
278: 3699.59
918: 3665.61
793: 3650.23
54: 3636.2
97: 3632.41
825: 3596.13
194: 3594
274: 3549.56
170: 3547.54
908: 3537.72
764: 3511.87
104: 3509.5
508: 3507.84
122: 3501.53
470: 3470.89
158: 3460.95
386: 3426.11
181: 3426
304: 3407.63
673: 3391.94
790: 3384.02
422: 3370.14
369: 3359
879: 3319.27
822: 3315.95
850: 3300.97
453: 3289.97
463: 3280.31
559: 3274.69
634: 3266.85
510: 3243.43
512: 3233.71
543: 3176.28
235: 3143.42
779: 3134.67
848: 3126.51
14: 3107.11
647: 3093
867: 3077.34
254: 3075.57
275: 3063.78
880: 3056.05
695: 3054.54
305: 3040.17
227: 3025.65
59: 3012.24
37: 2998.23
273: 2986.75
676: 2986.4
961: 2956.87
987: 2929.77
901: 2918.78
935: 2911.09
169: 2910.92
675: 2908.5
639: 2907.48
201: 2907.33
903: 2901.68
520: 2895.37
188: 2893.88
704: 2889.65
604: 2881.99
525: 2874.93
816: 2849.59
934: 2843.25
77: 2839.97
661: 2830.47
925: 2825.21
588: 2812.44
267: 2802.2
739: 2800.34
139: 2794.27
645: 2760.91
641: 2743.76
457: 2735.52
881: 2732.92
795: 2719.87
601: 2718.45
902: 2699.71
310: 2696.91
852: 2663.42
693: 2644.83
144: 2616.28
976: 2613.37
830: 2600.86
687: 2594.82
840: 2564.93
92: 2555.72
924: 2551.57
9: 2542.4
638: 2524.02
789: 2520.82
826: 2508.64
792: 2493.23
183: 2455.28
377: 2450.54
259: 2432.53
84: 2430.99
119: 2425.22
855: 2411.57
433: 2392.21
123: 2391.15
322: 2383.93
819: 2378.54
581: 2378.24
977: 2364.93
11: 2340.05
761: 2315.75
820: 2308.46
794: 2265.2
928: 2250.83
796: 2244.46
295: 2244.06
967: 2239.97
811: 2234.3
217: 2233.12
605: 2210.51
391: 2173.77
232: 2152.28
159: 2143.69
824: 2127
393: 2125.24
939: 2124.17
883: 2118.11
291: 2112
302: 2099.32
301: 2088.46
367: 2075.54
920: 2073.85
926: 2073.85
808: 2067.32
813: 2043.05
677: 2040.3
264: 2039.86
953: 2034.32
293: 2021.06
423: 2005.09
237: 1982.84
706: 1964.46
712: 1962.64
292: 1957.28
255: 1945.82
203: 1941.77
944: 1932.54
204: 1931.41
202: 1929.7
256: 1929
678: 1928.99
81: 1928.8
635: 1924.5
770: 1923.33
771: 1923.33
394: 1922
330: 1922
129: 1916.15
231: 1907.57
290: 1895.94
452: 1892.37
505: 1889.86
455: 1855.75
193: 1842.05
117: 1829.23
329: 1794.22
936: 1776.08
163: 1767.88
611: 1762.2
390: 1760.35
296: 1721.76
759: 1701.01
468: 1688.33
582: 1667.74
146: 1660.68
297: 1604.87
22: 1592.9
821: 1569.43
812: 1561.05
980: 1557.51
184: 1551.67
568: 1548.11
637: 1539.95
616: 1524.36
555: 1488.42
985: 1480.99
859: 1480.44
862: 1477.42
132: 1455.92
127: 1455.31
179: 1454.94
180: 1448.72
680: 1412.14
299: 1354.38
100: 1344.22
261: 1336.54
166: 1333.35
965: 1315.2
388: 1314.4
136: 1312.16
260: 1293.25
930: 1291.88
224: 1291.76
262: 1288.77
685: 1279.95
249: 1274.27
731: 1270.57
456: 1259.15
320: 1227.39
644: 1224.82
439: 1211.33
652: 1202.41
653: 1201.12
412: 1200.96
413: 1195.27
321: 1190.92
101: 1173.08
384: 1159.18
287: 1155
3: 1146.84
161: 1145.29
360: 1144.33
168: 1138.63
357: 1138.61
648: 1133.97
870: 1127.99
809: 1107.92
703: 1105.65
191: 1092.15
863: 1075
602: 1057.54
196: 1042.9
753: 1040.27
195: 1038.18
846: 1032.22
178: 1028.51
206: 1025.38
598: 1017.84
25: 1014.24
892: 1003.48
23: 1002.88
197: 1002.54
385: 993.454
900: 983.15
213: 981.967
657: 973.608
263: 972.437
138: 971.286
358: 970.965
285: 968.749
210: 967.492
397: 966.52
858: 965.89
424: 965.493
937: 963.918
317: 963.834
692: 963.667
869: 963.083
656: 962.876
896: 961.375
354: 961
829: 939.248
15: 913.848
362: 897.938
361: 897.938
752: 881.987
478: 881.949
396: 874.477
754: 864.857
734: 863.809
99: 848.15
576: 826.954
289: 818.249
325: 793.703
298: 784.797
558: 768.629
782: 767.484
503: 747.639
504: 747.639
205: 737.63
437: 736.36
654: 721.406
650: 721.406
436: 708.025
501: 704.962
655: 694.346
364: 671.4
359: 671.4
134: 644.839
750: 638.602
877: 636.445
599: 618.644
751: 616.275
477: 602.992
66: 597.542
32: 594.246
729: 586.319
636: 585.218
929: 580.684
979: 574.45
651: 559.573
498: 556.626
541: 535.147
375: 527.768
378: 527.768
374: 527.768
379: 524.754
688: 519.394
683: 515.542
88: 511.889
866: 503.121
43: 495.712
348: 490.791
872: 490.045
425: 483.065
464: 462.373
0: 448.762
502: 434.112
873: 423.402
984: 415.909
247: 404.961
597: 395.688
300: 393.048
207: 389.829
40: 389.013
440: 381.602
286: 374.294
757: 368.85
756: 338.211
177: 333.685
252: 332.449
303: 332.314
28: 300.906
689: 294.938
172: 284.383
17: 281.959
476: 280.118
732: 278.849
482: 226.397
228: 225.912
226: 224.665
225: 216.881
758: 216.819
156: 215.241
86: 201.788
551: 201.077
10: 196.162
735: 193.513
438: 192.385
561: 190.021
93: 187.672
874: 174.385
162: 170.043
711: 161.898
890: 157.457
893: 157.074
889: 156.176
891: 152.262
888: 151.562
164: 150.948
1: 150.285
160: 138.333
733: 133.751
2: 122.528
899: 122.361
435: 119.586
550: 117.933
192: 110.063
16: 81.604
87: 62.8885
542: 60.8171
399: 58.2482
236: 50.9757
91: 49.0734
480: 42.895
157: 42.6857
800: 28.1679
398: 27.2635
229: 25.4075
182: 21.6536
39: 17.9667
7: 16.7756
730: 14.0169
312: 13.5024
797: 11.6952
311: 11.5961
313: 11.5961
190: 11.442
316: 11.4246
658: 11.4176
33: 10.3422
434: 9.9
774: 7.26069
798: 5.46786
755: 5.25379
114: 4.72261
314: 4.10635
875: 4.0932
557: 3.4381
971: 2.48333
768: 2.41071
799: 2.31667
294: 1.95397
486: 1.7
974: 1.45
927: 0.972222
366: 0.25
973: 0.2
769: 0.125
1126: 0
2042: 0
1225: 0
1124: 0
8810: 0
5781: 0
2966: 0
4964: 0
3954: 0
4036: 0
30209: 0
2362: 0
4293: 0
28410: 0
1261: 0
2360: 0
1943: 0
2359: 0
2143: 0
2358: 0
1707: 0
3955: 0
1548: 0
1334: 0
1169: 0
5073: 0
2603: 0
22153: 0
5075: 0
12492: 0
4043: 0
1336: 0
1950: 0
1181: 0
1182: 0
1184: 0
1186: 0
1163: 0
2052: 0
4050: 0
1134: 0
3237: 0
2045: 0
1128: 0
2606: 0
12479: 0
2046: 0
1274: 0
1451: 0
4044: 0
1450: 0
1951: 0
1129: 0
1449: 0
2047: 0
2044: 0
4040: 0
1947: 0
1125: 0
2043: 0
5017: 0
4041: 0
1332: 0
1948: 0
12495: 0
4069: 0
1275: 0
2605: 0
1278: 0
5071: 0
4042: 0
1331: 0
5014: 0
2259: 0
1219: 0
4958: 0
2960: 0
5070: 0
5001: 0
2692: 0
1127: 0
1925: 0
1112: 0
3257: 0
3581: 0
5024: 0
1935: 0
4028: 0
3666: 0
1113: 0
12502: 0
1936: 0
2031: 0
1284: 0
4029: 0
4026: 0
3946: 0
12478: 0
1140: 0
5023: 0
3956: 0
1958: 0
2053: 0
1135: 0
3238: 0
12501: 0
3947: 0
1280: 0
5020: 0
3258: 0
1105: 0
1928: 0
2023: 0
5021: 0
4021: 0
1106: 0
12499: 0
1929: 0
2024: 0
1281: 0
4022: 0
1944: 0
5019: 0
1945: 0
1946: 0
1109: 0
4848: 0
12498: 0
1932: 0
2027: 0
1110: 0
4849: 0
1933: 0
2028: 0
1285: 0
1941: 0
2034: 0
7257: 0
30208: 0
1438: 0
4032: 0
1117: 0
4035: 0
1940: 0
2035: 0
4033: 0
1118: 0
1335: 0
5074: 0
1939: 0
1133: 0
2036: 0
1549: 0
4034: 0
2037: 0
1119: 0
3588: 0
5844: 0
1942: 0
1120: 0
2038: 0
5520: 0
2032: 0
3948: 0
12497: 0
30740: 0
5000: 0
3949: 0
3256: 0
2569: 0
3950: 0
79104: 0
1114: 0
1029: 0
4320: 0
1937: 0
2105: 0
20532: 0
4030: 0
1115: 0
1279: 0
1938: 0
2033: 0
5018: 0
4031: 0
1116: 0
12496: 0
5231: 0
4319: 0
1435: 0
2499: 0
6238: 0
3255: 0
2136: 0
2111: 0
12481: 0
6239: 0
2500: 0
1016: 0
2135: 0
1395: 0
2558: 0
6297: 0
1263: 0
3991: 0
15333: 0
1433: 0
1405: 0
2134: 0
2321: 0
2816: 0
2112: 0
2113: 0
5008: 0
2133: 0
15329: 0
2114: 0
8481: 0
2562: 0
2483: 0
2561: 0
2484: 0
2560: 0
2485: 0
1977: 0
6299: 0
1439: 0
2487: 0
2559: 0
4485: 0
1003: 0
2132: 0
2488: 0
6298: 0
2496: 0
6235: 0
2497: 0
6236: 0
2137: 0
2498: 0
6237: 0
5619: 0
5002: 0
1396: 0
3250: 0
1267: 0
3246: 0
1264: 0
5006: 0
3247: 0
12484: 0
1412: 0
2126: 0
1687: 0
12482: 0
3248: 0
1266: 0
3249: 0
12485: 0
6004: 0
3254: 0
5005: 0
3251: 0
3252: 0
12483: 0
1265: 0
5004: 0
1694: 0
5221: 0
3253: 0
1482: 0
2123: 0
15331: 0
2116: 0
1269: 0
15332: 0
2117: 0
2118: 0
2119: 0
2120: 0
2121: 0
2125: 0
3235: 0
2122: 0
5003: 0
2482: 0
2124: 0
2129: 0
3239: 0
12486: 0
3240: 0
2128: 0
1624: 0
2145: 0
1268: 0
3242: 0
5007: 0
3244: 0
3975: 0
4224: 0
2226: 0
5010: 0
2211: 0
12488: 0
1270: 0
5009: 0
1949: 0
5431: 0
1692: 0
3349: 0
12487: 0
4294: 0
1271: 0
1636: 0
1142: 0
1143: 0
1144: 0
1276: 0
1145: 0
1150: 0
1151: 0
1146: 0
5015: 0
1443: 0
2212: 0
1153: 0
5012: 0
4045: 0
3693: 0
5434: 0
1952: 0
1132: 0
2050: 0
12491: 0
4048: 0
1273: 0
3953: 0
1955: 0
2051: 0
1448: 0
1154: 0
4049: 0
1685: 0
1447: 0
1956: 0
2055: 0
1446: 0
2878: 0
1445: 0
1137: 0
1139: 0
1444: 0
12490: 0
2062: 0
2566: 0
2565: 0
2057: 0
1442: 0
2058: 0
2564: 0
1441: 0
2059: 0
17729: 0
2060: 0
4271: 0
2061: 0
4270: 0
2567: 0
4261: 0
2064: 0
1670: 0
2065: 0
1437: 0
1372: 0
1440: 0
7200: 0
15469: 0
3993: 0
3992: 0
2563: 0
5016: 0
1345: 0
5084: 0
2014: 0
3024: 0
2140: 0
1155: 0
1157: 0
7814: 0
12493: 0
4076: 0
2139: 0
7815: 0
1262: 0
5013: 0
1277: 0
12494: 0
12480: 0
4686: 0
6577: 0
1394: 0
1571: 0
1573: 0
2838: 0
3135: 0
1551: 0
2568: 0
1318: 0
2495: 0
6234: 0
21584: 0
2493: 0
1316: 0
2489: 0
5055: 0
4484: 0
2486: 0
1215: 0
4954: 0
1319: 0
2440: 0
5058: 0
13796: 0
3344: 0
5057: 0
6003: 0
2521: 0
6260: 0
6255: 0
2516: 0
1032: 0
3495: 0
1455: 0
2578: 0
1714: 0
5453: 0
1810: 0
13798: 0
3961: 0
1148: 0
1084: 0
2002: 0
996: 0
4000: 0
2007: 0
1320: 0
4005: 0
1089: 0
5059: 0
1590: 0
3236: 0
13795: 0
1317: 0
1715: 0
5056: 0
4424: 0
2618: 0
2494: 0
2580: 0
2492: 0
1217: 0
4956: 0
13797: 0
2491: 0
2579: 0
1286: 0
1053: 0
1971: 0
1310: 0
3969: 0
6254: 0
2515: 0
1031: 0
3511: 0
5049: 0
1313: 0
1961: 0
5052: 0
3959: 0
5025: 0
3958: 0
1962: 0
12503: 0
3960: 0
2608: 0
14977: 0
2490: 0
1047: 0
6270: 0
2531: 0
1037: 0
8515: 0
44502: 0
2599: 0
5053: 0
1050: 0
6273: 0
2534: 0
6258: 0
2519: 0
1035: 0
8513: 0
1969: 0
3967: 0
8143: 0
1315: 0
1744: 0
5054: 0
1314: 0
1963: 0
1312: 0
1615: 0
3356: 0
6257: 0
2518: 0
1034: 0
5051: 0
1311: 0
6265: 0
2526: 0
1042: 0
1960: 0
5050: 0
1056: 0
1979: 0
2589: 0
3977: 0
1060: 0
1978: 0
13806: 0
3976: 0
1059: 0
1058: 0
1976: 0
1325: 0
3974: 0
1057: 0
1975: 0
1061: 0
1974: 0
5064: 0
3972: 0
10557: 0
1324: 0
5795: 0
2056: 0
5063: 0
1138: 0
1323: 0
1073: 0
28929: 0
5062: 0
1141: 0
1357: 0
1329: 0
5068: 0
1328: 0
5067: 0
1327: 0
14058: 0
5066: 0
7092: 0
1660: 0
1330: 0
2026: 0
5508: 0
4024: 0
1072: 0
1618: 0
1359: 0
5098: 0
1123: 0
2041: 0
4039: 0
2040: 0
5069: 0
4038: 0
1122: 0
1326: 0
3973: 0
5065: 0
1988: 0
1964: 0
2583: 0
3962: 0
2039: 0
4037: 0
30210: 0
1121: 0
54929: 0
3957: 0
13800: 0
1632: 0
1210: 0
1567: 0
1572: 0
3963: 0
1916: 0
1348: 0
2049: 0
4047: 0
1180: 0
8658: 0
2582: 0
2011: 0
13799: 0
4009: 0
2009: 0
2581: 0
4007: 0
2013: 0
28928: 0
1322: 0
5061: 0
2588: 0
2018: 0
13805: 0
4016: 0
1973: 0
1054: 0
1972: 0
2587: 0
3970: 0
13804: 0
2586: 0
1107: 0
13803: 0
4011: 0
2585: 0
13802: 0
2199: 0
5938: 0
1968: 0
2584: 0
3966: 0
1966: 0
3964: 0
1965: 0
13801: 0
1293: 0
1085: 0
4001: 0
1295: 0
5034: 0
12512: 0
1294: 0
1078: 0
1996: 0
5033: 0
3994: 0
1130: 0
2048: 0
12511: 0
4046: 0
12513: 0
3951: 0
1953: 0
5032: 0
10391: 0
12510: 0
1292: 0
5031: 0
12509: 0
1291: 0
5030: 0
12508: 0
1290: 0
4190: 0
23032: 0
3979: 0
5040: 0
1717: 0
1300: 0
5039: 0
1299: 0
3880: 0
5038: 0
2025: 0
1298: 0
4023: 0
1147: 0
1152: 0
5037: 0
13807: 0
6259: 0
2520: 0
1036: 0
1954: 0
3952: 0
3564: 0
1296: 0
3566: 0
5035: 0
28930: 0
2757: 0
1074: 0
1992: 0
1102: 0
4014: 0
7753: 0
1099: 0
5026: 0
1922: 0
2017: 0
12504: 0
4015: 0
1101: 0
2571: 0
1924: 0
2019: 0
2570: 0
4017: 0
1287: 0
2020: 0
1297: 0
4018: 0
1103: 0
5036: 0
1926: 0
2021: 0
16652: 0
4019: 0
1104: 0
1927: 0
2022: 0
1282: 0
4006: 0
2590: 0
100857: 0
42: 0
5029: 0
12507: 0
1919: 0
1096: 0
3291: 0
1289: 0
4012: 0
1090: 0
2008: 0
5747: 0
5028: 0
1301: 0
1931: 0
1934: 0
12506: 0
1097: 0
1288: 0
1920: 0
2015: 0
5027: 0
4013: 0
1098: 0
12505: 0
1921: 0
2016: 0
1306: 0
1959: 0
1309: 0
5048: 0
1308: 0
5047: 0
1307: 0
2523: 0
6262: 0
1039: 0
6272: 0
2533: 0
1049: 0
1967: 0
5046: 0
1033: 0
5045: 0
1040: 0
6263: 0
2524: 0
625: 0
1041: 0
6264: 0
2525: 0
5843: 0
2104: 0
1741: 0
2576: 0
13793: 0
2532: 0
1052: 0
1970: 0
20665: 0
3968: 0
6253: 0
2514: 0
1030: 0
13816: 0
1333: 0
5072: 0
3802: 0
3355: 0
1048: 0
6271: 0
4574: 0
1080: 0
1998: 0
4384: 0
3996: 0
4383: 0
3943: 0
4381: 0
6261: 0
2522: 0
1038: 0
8516: 0
6256: 0
2517: 0
5042: 0
4352: 0
2787: 0
1046: 0
6269: 0
2530: 0
4351: 0
1305: 0
5044: 0
1170: 0
1304: 0
1136: 0
2877: 0
5043: 0
1303: 0
2094: 0
1223: 0
4962: 0
2964: 0
1302: 0
4216: 0
12519: 0
1915: 0
1092: 0
2010: 0
5041: 0
4008: 0
1063: 0
1981: 0
59260: 0
1799: 0
2574: 0
1704: 0
1043: 0
6266: 0
2527: 0
13791: 0
13792: 0
2575: 0
2573: 0
1044: 0
6267: 0
2528: 0
4020: 0
1051: 0
6274: 0
2535: 0
13790: 0
2345: 0
2572: 0
4354: 0
2529: 0
6268: 0
1045: 0
1733: 0
1393: 0
1743: 0
1681: 0
2673: 0
4965: 0
2619: 0
1224: 0
2617: 0
4963: 0
1364: 0
2668: 0
2613: 0
2611: 0
1222: 0
2610: 0
2607: 0
255898: 0
2081: 0
2604: 0
4961: 0
2602: 0
1221: 0
4960: 0
1220: 0
4959: 0
1730: 0
1425: 0
1414: 0
3266: 0
3265: 0
3989: 0
1218: 0
1242: 0
1371: 0
1370: 0
1369: 0
1368: 0
1365: 0
2626: 0
2551: 0
2625: 0
6290: 0
2624: 0
2550: 0
2622: 0
6289: 0
2621: 0
3550: 0
2672: 0
4981: 0
12459: 0
2082: 0
2670: 0
2620: 0
1228: 0
4967: 0
2144: 0
1227: 0
2080: 0
2669: 0
4966: 0
1226: 0
2548: 0
2452: 0
5934: 0
9541: 0
2075: 0
2063: 0
2073: 0
2549: 0
2072: 0
2071: 0
1398: 0
1055: 0
6288: 0
2068: 0
2636: 0
2642: 0
1454: 0
2676: 0
6287: 0
2547: 0
3558: 0
1379: 0
2627: 0
6286: 0
2546: 0
2671: 0
9062: 0
2098: 0
1375: 0
1366: 0
1363: 0
4957: 0
2079: 0
2078: 0
2077: 0
1214: 0
2076: 0
26611: 0
845: 0
1383: 0
26610: 0
1213: 0
1212: 0
6138: 0
2399: 0
1373: 0
1362: 0
1361: 0
1360: 0
1358: 0
1356: 0
1355: 0
1406: 0
2628: 0
4947: 0
1208: 0
14758: 0
2577: 0
3640: 0
13794: 0
2102: 0
2679: 0
2677: 0
6245: 0
2674: 0
2506: 0
1851: 0
3228: 0
6244: 0
2103: 0
2101: 0
2170: 0
43954: 0
2505: 0
5335: 0
4968: 0
2100: 0
2637: 0
2635: 0
6243: 0
2632: 0
2631: 0
2630: 0
2629: 0
1616: 0
3357: 0
6160: 0
2678: 0
2634: 0
2633: 0
2107: 0
1386: 0
1385: 0
1384: 0
1382: 0
1381: 0
1380: 0
2681: 0
1235: 0
2680: 0
4974: 0
3562: 0
3234: 0
1234: 0
7330: 0
2504: 0
2106: 0
3232: 0
4973: 0
3231: 0
1231: 0
4970: 0
3229: 0
1229: 0
3227: 0
1485: 0
3226: 0
78088: 0
1484: 0
3225: 0
2089: 0
1376: 0
2095: 0
2503: 0
2093: 0
6241: 0
31689: 0
2092: 0
2502: 0
31688: 0
2091: 0
2554: 0
31687: 0
2090: 0
31686: 0
1377: 0
31684: 0
6293: 0
2087: 0
31683: 0
2553: 0
2086: 0
6292: 0
